ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
544;1;M;2832;11,59
545;1;M;2833;11,59
546;1;M;2834;11,6
547;1;M;2835;11,6
548;1;M;2836;11,61
549;1;M;2837;11,61
550;1;M;2838;11,62
551;1;M;2839;11,63
552;1;M;2840;11,64
553;1;M;2841;11,65
554;1;M;2842;11,66
555;1;M;2843;11,67
556;1;M;2844;11,68
557;1;M;2845;11,68
558;1;M;2846;11,69
559;1;M;2847;11,7
560;1;M;2848;11,71
561;1;M;2849;11,72
562;1;M;2850;11,73
563;1;M;2851;11,74
564;1;M;2852;11,75
565;1;M;2853;11,76
566;1;M;2854;11,77
567;1;M;2855;11,78
568;1;M;2856;11,78
569;1;M;2857;11,79
570;1;M;2858;11,79
571;1;M;2859;11,8
572;1;M;2860;11,8
573;1;M;2861;11,81
574;1;M;2862;11,81
575;1;M;2863;11,82
576;1;M;2864;11,83
577;1;M;2865;11,84
578;1;M;2866;11,85
579;1;M;2867;11,86
580;1;M;2868;11,87
581;1;M;2869;11,88
582;1;M;2870;11,88
583;1;M;2871;11,89
584;1;M;2872;11,9
585;1;M;2873;11,91
586;1;M;2874;11,92
587;1;M;2875;11,93
588;1;M;2876;11,94
589;1;M;2877;11,95
590;1;M;2878;11,96
591;1;M;2879;11,97
592;1;M;2880;11,98
593;1;M;2881;11,98
594;1;M;2882;11,99
595;1;M;2883;11,99
596;1;M;2884;12
597;1;M;2885;12
598;1;M;2886;12,01
599;1;M;2887;12,01
600;1;M;2888;12,02
601;1;M;2889;12,03
602;1;M;2890;12,04
603;1;M;2891;12,05
604;1;M;2892;12,06
605;1;M;2893;12,07
606;1;M;2894;12,08
607;1;M;2895;12,08
608;1;M;2896;12,09
609;1;M;2897;12,1
610;1;M;2898;12,11
611;1;M;2899;12,12
612;1;M;2900;12,13
613;1;M;2901;12,14
614;1;M;2902;12,15
615;1;M;2903;12,16
616;1;M;2904;12,17
617;1;M;2905;12,18
618;1;M;2906;12,18
619;1;M;2907;12,19
620;1;M;2908;12,19
621;1;M;2909;12,2
