ID;Ano;Sexo;Abd_Rep;Abd_Nota
531;4;M;28;2,8
532;4;M;29;3,1
533;4;M;30;3,4
534;4;M;31;3,7
535;4;M;32;4
536;4;M;33;4,3
537;4;M;34;4,6
538;4;M;35;4,9
539;4;M;36;5,2
540;4;M;37;5,5
541;4;M;38;5,8
542;4;M;39;6,1
543;4;M;40;6,4
544;4;M;41;6,7
545;4;M;42;7
546;4;M;43;7,3
547;4;M;44;7,6
548;4;M;45;7,9
549;4;M;46;8,2
550;4;M;47;8,5
551;4;M;48;8,8
552;4;M;49;9,1
553;4;M;50;9,4
554;4;M;51;9,7
555;4;M;52;10
556;4;M;53;10,2
557;4;M;54;10,4
558;4;M;55;10,6
559;4;M;56;10,8
560;4;M;57;11
561;4;M;58;11,2
562;4;M;59;11,4
563;4;M;60;11,6
564;4;M;61;11,8
565;4;M;62;12
566;4;M;63;12,2
567;4;M;64;12,4
568;4;M;65;12,6
569;4;M;66;12,8
570;4;M;67;13
571;4;M;68;13,2
572;4;M;69;13,4
573;4;M;70;13,6
574;4;M;71;13,8
575;4;M;72;14
576;4;M;73;14,2
577;4;M;74;14,4
578;4;M;75;14,6
579;4;M;76;14,8
580;4;M;77;15
581;4;M;78;15,2
582;4;M;79;15,4
583;4;M;80;15,6
584;4;M;81;15,8
585;4;M;82;16
586;4;M;83;16,2
587;4;M;84;16,4
588;4;M;85;16,6
589;4;M;86;16,8
590;4;M;87;17
591;4;M;88;17,2
592;4;M;89;17,4
593;4;M;90;17,6
594;4;M;91;17,8
595;4;M;92;18
596;4;M;93;18,2
597;4;M;94;18,4
598;4;M;95;18,6
599;4;M;96;18,8
600;4;M;97;19
601;4;M;98;19,2
602;4;M;99;19,4
603;4;M;100;19,6
604;4;M;101;19,8
605;4;M;102;20
606;4;F;18;0
607;4;F;19;0
608;4;F;20;0,4
609;4;F;21;0,7
610;4;F;22;1
611;4;F;23;1,3
612;4;F;24;1,6
613;4;F;25;1,9
614;4;F;26;2,2
615;4;F;27;2,5
616;4;F;28;2,8
617;4;F;29;3,1
618;4;F;30;3,4
619;4;F;31;3,7
620;4;F;32;4
621;4;F;33;4,3
622;4;F;34;4,6
623;4;F;35;4,9
624;4;F;36;5,2
625;4;F;37;5,5
626;4;F;38;5,8
627;4;F;39;6,1
628;4;F;40;6,4
629;4;F;41;6,7
630;4;F;42;7
631;4;F;43;7,3
632;4;F;44;7,6
633;4;F;45;7,9
634;4;F;46;8,2
635;4;F;47;8,5
636;4;F;48;8,8
637;4;F;49;9,1
638;4;F;50;9,4
639;4;F;51;9,7
640;4;F;52;10
641;4;F;53;10,2
642;4;F;54;10,4
643;4;F;55;10,6
644;4;F;56;10,8
645;4;F;57;11
646;4;F;58;11,2
647;4;F;59;11,4
648;4;F;60;11,6
649;4;F;61;11,8
650;4;F;62;12
651;4;F;63;12,2
652;4;F;64;12,4
653;4;F;65;12,6
654;4;F;66;12,8
655;4;F;67;13
656;4;F;68;13,2
657;4;F;69;13,4
658;4;F;70;13,6
659;4;F;71;13,8
660;4;F;72;14
661;4;F;73;14,2
662;4;F;74;14,4
663;4;F;75;14,6
664;4;F;76;14,8
665;4;F;77;15
666;4;F;78;15,2
667;4;F;79;15,4
668;4;F;80;15,6
669;4;F;81;15,8
670;4;F;82;16
671;4;F;83;16,2
672;4;F;84;16,4
673;4;F;85;16,6
674;4;F;86;16,8
675;4;F;87;17
676;4;F;88;17,2
677;4;F;89;17,4
678;4;F;90;17,6
679;4;F;91;17,8
680;4;F;92;18
681;4;F;93;18,2
682;4;F;94;18,4
683;4;F;95;18,6
684;4;F;96;18,8
685;4;F;97;19
686;4;F;98;19,2
687;4;F;99;19,4
688;4;F;100;19,6
689;4;F;101;19,8
690;4;F;102;20
