id;Sexo;Segundos;Nota
1139;M;2630;0,67
1140;M;2631;0,65
1141;M;2632;0,63
1142;M;2633;0,62
1143;M;2634;0,6
1144;M;2635;0,58
1145;M;2636;0,57
1146;M;2637;0,55
1147;M;2638;0,53
1148;M;2639;0,52
1149;M;2640;0,5
1150;M;2641;0,48
1151;M;2642;0,47
1152;M;2643;0,45
1153;M;2644;0,43
1154;M;2645;0,42
1155;M;2646;0,4
1156;M;2647;0,38
1157;M;2648;0,37
1158;M;2649;0,35
1159;M;2650;0,33
1160;M;2651;0,32
1161;M;2652;0,3
1162;M;2653;0,28
1163;M;2654;0,27
1164;M;2655;0,25
1165;M;2656;0,23
1166;M;2657;0,22
1167;M;2658;0,2
1168;M;2659;0,18
1169;M;2660;0,17
1170;M;2661;0,15
1171;M;2662;0,13
1172;M;2663;0,12
1173;M;2664;0,1
1174;M;2665;0,08
1175;M;2666;0,07
1176;M;2667;0,05
1177;M;2668;0,03
1178;M;2669;0,02
1179;M;2670;0
1180;F;1857;20
1181;F;1858;20
1182;F;1859;20
1183;F;1860;20
1184;F;1861;20
1185;F;1862;20
1186;F;1863;20
1187;F;1864;20
1188;F;1865;20
1189;F;1866;20
1190;F;1867;20
1191;F;1868;20
1192;F;1869;20
1193;F;1870;20
1194;F;1871;20
1195;F;1872;20
1196;F;1873;20
1197;F;1874;20
1198;F;1875;20
1199;F;1876;20
1200;F;1877;20
1201;F;1878;20
1202;F;1879;20
1203;F;1880;20
1204;F;1881;20
1205;F;1882;20
1206;F;1883;20
1207;F;1884;20
1208;F;1885;20
1209;F;1886;20
1210;F;1887;20
1211;F;1888;20
1212;F;1889;20
1213;F;1890;20
1214;F;1891;20
1215;F;1892;20
1216;F;1893;20
1217;F;1894;20
1218;F;1895;20
1219;F;1896;20
1220;F;1897;20
1221;F;1898;20
1222;F;1899;20
1223;F;1900;20
1224;F;1901;20
1225;F;1902;20
1226;F;1903;20
1227;F;1904;20
1228;F;1905;20
1229;F;1906;20
1230;F;1907;20
1231;F;1908;20
1232;F;1909;20
1233;F;1910;20
1234;F;1911;20
1235;F;1912;20
1236;F;1913;20
1237;F;1914;20
1238;F;1915;20
1239;F;1916;20
1240;F;1917;20
1241;F;1918;20
1242;F;1919;20
1243;F;1920;20
1244;F;1921;20
1245;F;1922;20
1246;F;1923;20
1247;F;1924;20
1248;F;1925;20
1249;F;1926;20
1250;F;1927;20
1251;F;1928;20
1252;F;1929;20
1253;F;1930;20
1254;F;1931;20
1255;F;1932;20
1256;F;1933;20
1257;F;1934;20
1258;F;1935;20
1259;F;1936;20
1260;F;1937;20
1261;F;1938;20
1262;F;1939;20
1263;F;1940;20
1264;F;1941;20
1265;F;1942;20
1266;F;1943;20
1267;F;1944;20
1268;F;1945;20
1269;F;1946;20
1270;F;1947;20
1271;F;1948;20
1272;F;1949;20
1273;F;1950;20
1274;F;1951;20
1275;F;1952;20
1276;F;1953;20
1277;F;1954;20
1278;F;1955;20
1279;F;1956;20
1280;F;1957;20
1281;F;1958;20
